"latitude","longitude","time"
14.63665626,121.07418192,2020-09-24 06:07:13.230000+00:00
14.63670074,121.07412257,2020-09-24 06:07:19.463000+00:00
14.63669095,121.07412088,2020-09-24 06:07:25.725000+00:00
14.63668502,121.07411639,2020-09-24 06:07:31.942000+00:00
14.63668189,121.07413377,2020-09-24 06:07:38.152000+00:00
14.63667129,121.07415067,2020-09-24 06:07:44.469000+00:00
14.63645254,121.07425479,2020-09-24 06:07:51.665000+00:00
14.63595085,121.07423749,2020-09-24 06:07:57.955000+00:00
14.63525099,121.07419188,2020-09-24 06:08:05.430000+00:00
14.63443866,121.0741805,2020-09-24 06:08:13.434000+00:00
14.63368085,121.07414344,2020-09-24 06:08:21.443000+00:00
14.63298213,121.07411292,2020-09-24 06:08:29.446000+00:00
14.63264907,121.07403978,2020-09-24 06:08:39+00:00
14.6328269,121.07416873,2020-09-24 06:08:44.704000+00:00
14.63342484,121.0744279,2020-09-24 06:08:52.435000+00:00
14.63404798,121.07444228,2020-09-24 06:08:58.702000+00:00
14.63499337,121.07437846,2020-09-24 06:09:06.651000+00:00
14.63560142,121.07448586,2020-09-24 06:09:12.860000+00:00
14.63610117,121.07452411,2020-09-24 06:09:19.049000+00:00
14.63645397,121.07458303,2020-09-24 06:09:25.668000+00:00
14.63662038,121.07443152,2020-09-24 06:09:31.912000+00:00
14.63682541,121.07457608,2020-09-24 06:09:39.441000+00:00
14.63713227,121.07462386,2020-09-24 06:09:46.726000+00:00
14.63756272,121.07453764,2020-09-24 06:09:52.956000+00:00
14.63820828,121.07452458,2020-09-24 06:10:00.672000+00:00
14.63874736,121.07455504,2020-09-24 06:10:06.849000+00:00
14.63916883,121.07457534,2020-09-24 06:10:13.029000+00:00
14.63947324,121.07459657,2020-09-24 06:10:19.261000+00:00
14.63978746,121.07460532,2020-09-24 06:10:25.465000+00:00
14.64010185,121.07463203,2020-09-24 06:10:32.689000+00:00
14.64036607,121.07464064,2020-09-24 06:10:39.027000+00:00
14.64068247,121.07464815,2020-09-24 06:10:45.223000+00:00
14.64105671,121.07470548,2020-09-24 06:10:51.416000+00:00
14.6415916,121.074425,2020-09-24 06:10:58.917000+00:00
14.64215211,121.07475727,2020-09-24 06:11:04.287000+00:00
14.64259677,121.07479096,2020-09-24 06:11:10.518000+00:00
14.64278348,121.07468353,2020-09-24 06:11:16.726000+00:00
14.6430722,121.0745471,2020-09-24 06:11:24.281000+00:00
14.64325899,121.07479708,2020-09-24 06:11:29.623000+00:00
14.64360885,121.07482838,2020-09-24 06:11:35.844000+00:00
14.64395774,121.07487506,2020-09-24 06:11:42.052000+00:00
14.64420842,121.07482147,2020-09-24 06:11:48.272000+00:00
14.64454911,121.07473539,2020-09-24 06:11:54.478000+00:00
14.64475864,121.07460899,2020-09-24 06:12:00.685000+00:00
14.64512552,121.07453184,2020-09-24 06:12:06.895000+00:00
14.64557538,121.07450947,2020-09-24 06:12:13.087000+00:00
14.64599674,121.07448581,2020-09-24 06:12:19.331000+00:00
14.64646391,121.07443512,2020-09-24 06:12:25.536000+00:00
14.6471121,121.07444683,2020-09-24 06:12:31.777000+00:00
14.64763568,121.07444897,2020-09-24 06:12:37.995000+00:00
14.64816854,121.07443862,2020-09-24 06:12:44.643000+00:00
14.64835679,121.0741334,2020-09-24 06:12:51.690000+00:00
14.64828927,121.0736173,2020-09-24 06:12:59.656000+00:00
14.6482152,121.07296229,2020-09-24 06:13:07.667000+00:00
14.64815004,121.07229006,2020-09-24 06:13:15.672000+00:00
14.64790184,121.07182999,2020-09-24 06:13:21.849000+00:00
14.64743213,121.07115117,2020-09-24 06:13:29.685000+00:00
14.64724773,121.0704076,2020-09-24 06:13:37.649000+00:00
14.64725678,121.06950446,2020-09-24 06:13:45.646000+00:00
14.64726494,121.06899558,2020-09-24 06:13:53.669000+00:00
14.64776875,121.06899255,2020-09-24 06:14:03.430000+00:00
14.64830957,121.06898194,2020-09-24 06:14:10.680000+00:00
14.64858878,121.06900764,2020-09-24 06:14:17.686000+00:00
14.64888684,121.06896537,2020-09-24 06:14:27.447000+00:00
14.64904806,121.06891904,2020-09-24 06:14:35.439000+00:00
14.64907077,121.0688086,2020-09-24 06:14:41.635000+00:00
14.64915133,121.06879329,2020-09-24 06:14:47.856000+00:00
14.6490299,121.0686356,2020-09-24 06:15:09.223000+00:00
14.6490476,121.0687188,2020-09-24 06:15:47.958000+00:00

