"latitude","longitude","time"
41.233283,-105.434187,2014-07-26 13:03:55+00:00
41.233209,-105.434177,2014-07-26 13:03:58+00:00
41.233247,-105.434183,2014-07-26 13:04:15+00:00
41.233218,-105.434231,2014-07-26 13:04:19+00:00
41.233196,-105.434269,2014-07-26 13:04:22+00:00
41.233253,-105.434293,2014-07-26 13:04:29+00:00
41.23321,-105.434273,2014-07-26 13:04:41+00:00
41.23321,-105.434214,2014-07-26 13:05:23+00:00
41.233232,-105.434189,2014-07-26 13:05:27+00:00
41.233257,-105.434204,2014-07-26 13:05:34+00:00
41.233239,-105.434163,2014-07-26 13:05:41+00:00
41.233263,-105.43414,2014-07-26 13:05:52+00:00
41.233304,-105.434141,2014-07-26 13:05:55+00:00
41.233339,-105.434153,2014-07-26 13:05:57+00:00
41.23337,-105.434168,2014-07-26 13:05:59+00:00
41.233396,-105.434179,2014-07-26 13:06:01+00:00
41.233427,-105.434184,2014-07-26 13:06:03+00:00
41.233459,-105.434187,2014-07-26 13:06:05+00:00
41.233491,-105.434179,2014-07-26 13:06:08+00:00
41.233501,-105.43414,2014-07-26 13:06:11+00:00
41.233514,-105.434101,2014-07-26 13:06:14+00:00
41.233518,-105.434063,2014-07-26 13:06:17+00:00
41.233542,-105.434028,2014-07-26 13:06:20+00:00
41.233565,-105.433989,2014-07-26 13:06:23+00:00
41.233575,-105.43395,2014-07-26 13:06:26+00:00
41.23356,-105.43391,2014-07-26 13:06:29+00:00
41.233553,-105.433873,2014-07-26 13:06:33+00:00
41.233534,-105.433843,2014-07-26 13:06:37+00:00
41.233512,-105.433809,2014-07-26 13:06:41+00:00
41.233516,-105.433765,2014-07-26 13:06:45+00:00
41.233521,-105.433724,2014-07-26 13:06:49+00:00
41.233522,-105.433683,2014-07-26 13:06:53+00:00
41.233514,-105.43364,2014-07-26 13:06:57+00:00
41.233508,-105.433598,2014-07-26 13:07:01+00:00
41.233498,-105.433553,2014-07-26 13:07:06+00:00
41.233484,-105.433518,2014-07-26 13:07:10+00:00
41.233478,-105.433479,2014-07-26 13:07:14+00:00
41.233441,-105.433475,2014-07-26 13:07:41+00:00
41.233426,-105.433439,2014-07-26 13:07:46+00:00
41.233388,-105.433412,2014-07-26 13:07:55+00:00
41.233359,-105.433402,2014-07-26 13:08:03+00:00
41.233351,-105.433361,2014-07-26 13:08:08+00:00
41.233343,-105.433324,2014-07-26 13:08:12+00:00
41.23332,-105.433297,2014-07-26 13:08:17+00:00
41.2333,-105.433227,2014-07-26 13:08:26+00:00
41.233271,-105.433214,2014-07-26 13:08:34+00:00
41.233267,-105.433177,2014-07-26 13:08:47+00:00
41.233293,-105.433163,2014-07-26 13:10:14+00:00
41.233254,-105.43313,2014-07-26 13:10:45+00:00
41.233233,-105.433093,2014-07-26 13:10:46+00:00
41.23321,-105.433054,2014-07-26 13:10:47+00:00
41.233185,-105.433015,2014-07-26 13:10:48+00:00
41.233158,-105.432975,2014-07-26 13:10:49+00:00
41.233131,-105.432932,2014-07-26 13:10:50+00:00
41.233105,-105.432887,2014-07-26 13:10:51+00:00
41.233075,-105.432839,2014-07-26 13:10:52+00:00
41.233017,-105.432757,2014-07-26 13:10:53+00:00
41.232973,-105.432713,2014-07-26 13:10:54+00:00
41.232928,-105.432663,2014-07-26 13:10:55+00:00
41.232918,-105.432577,2014-07-26 13:10:56+00:00
41.232873,-105.432514,2014-07-26 13:10:57+00:00
41.232829,-105.432451,2014-07-26 13:10:58+00:00
41.232786,-105.432387,2014-07-26 13:10:59+00:00
41.232739,-105.432316,2014-07-26 13:11:00+00:00
41.232696,-105.432244,2014-07-26 13:11:01+00:00
41.23265,-105.432167,2014-07-26 13:11:02+00:00
41.232609,-105.432096,2014-07-26 13:11:03+00:00
41.232555,-105.432004,2014-07-26 13:11:04+00:00
41.232508,-105.431927,2014-07-26 13:11:05+00:00
41.23246,-105.431851,2014-07-26 13:11:06+00:00
41.232406,-105.431776,2014-07-26 13:11:07+00:00
41.232348,-105.431713,2014-07-26 13:11:08+00:00
41.232283,-105.431645,2014-07-26 13:11:09+00:00
41.232241,-105.431599,2014-07-26 13:11:10+00:00
41.232266,-105.431428,2014-07-26 13:11:11+00:00
41.232278,-105.431329,2014-07-26 13:11:12+00:00
41.23229,-105.431203,2014-07-26 13:11:13+00:00
41.232291,-105.431129,2014-07-26 13:11:14+00:00
41.232288,-105.431056,2014-07-26 13:11:15+00:00
41.232262,-105.43093,2014-07-26 13:11:16+00:00
41.23222,-105.430828,2014-07-26 13:11:17+00:00
41.232188,-105.430755,2014-07-26 13:11:18+00:00
41.23216,-105.43069,2014-07-26 13:11:19+00:00
41.232133,-105.430628,2014-07-26 13:11:20+00:00
41.232101,-105.430554,2014-07-26 13:11:21+00:00
41.232077,-105.430492,2014-07-26 13:11:22+00:00
41.23206,-105.430436,2014-07-26 13:11:23+00:00
41.232045,-105.430373,2014-07-26 13:11:24+00:00
41.232036,-105.430328,2014-07-26 13:11:25+00:00
41.232029,-105.430284,2014-07-26 13:11:26+00:00
41.232023,-105.43022,2014-07-26 13:11:27+00:00
41.232019,-105.430169,2014-07-26 13:11:28+00:00
41.232017,-105.430117,2014-07-26 13:11:29+00:00
41.23202,-105.430064,2014-07-26 13:11:30+00:00
41.232024,-105.430007,2014-07-26 13:11:31+00:00
41.232029,-105.429971,2014-07-26 13:11:32+00:00
41.232036,-105.429927,2014-07-26 13:11:33+00:00
41.232044,-105.429884,2014-07-26 13:11:34+00:00
41.232053,-105.429842,2014-07-26 13:11:35+00:00
41.232063,-105.429798,2014-07-26 13:11:36+00:00
41.232076,-105.429751,2014-07-26 13:11:37+00:00
41.232091,-105.429708,2014-07-26 13:11:38+00:00
41.232108,-105.429662,2014-07-26 13:11:39+00:00
41.232125,-105.429621,2014-07-26 13:11:40+00:00
41.232145,-105.429578,2014-07-26 13:11:41+00:00
41.232165,-105.429533,2014-07-26 13:11:42+00:00
41.232185,-105.429496,2014-07-26 13:11:43+00:00
41.232207,-105.429458,2014-07-26 13:11:44+00:00
41.232224,-105.42943,2014-07-26 13:11:45+00:00
41.232254,-105.42939,2014-07-26 13:11:46+00:00
41.23229,-105.429349,2014-07-26 13:11:48+00:00
41.232331,-105.429309,2014-07-26 13:11:49+00:00
41.232362,-105.429283,2014-07-26 13:11:50+00:00
41.232392,-105.429258,2014-07-26 13:11:51+00:00
41.232421,-105.429235,2014-07-26 13:11:52+00:00
41.232449,-105.429212,2014-07-26 13:11:53+00:00
41.232476,-105.42919,2014-07-26 13:11:54+00:00
41.232506,-105.429168,2014-07-26 13:11:55+00:00
41.232536,-105.429147,2014-07-26 13:11:56+00:00
41.232564,-105.429128,2014-07-26 13:11:57+00:00
41.232595,-105.429108,2014-07-26 13:11:58+00:00
41.232632,-105.429085,2014-07-26 13:11:59+00:00
41.232685,-105.429056,2014-07-26 13:12:01+00:00
41.23274,-105.429026,2014-07-26 13:12:02+00:00
41.232783,-105.429008,2014-07-26 13:12:04+00:00
41.232813,-105.428995,2014-07-26 13:12:05+00:00
41.232852,-105.42898,2014-07-26 13:12:06+00:00
41.23288,-105.428971,2014-07-26 13:12:07+00:00
41.232914,-105.428961,2014-07-26 13:12:08+00:00
41.232952,-105.428949,2014-07-26 13:12:09+00:00
41.232985,-105.42894,2014-07-26 13:12:10+00:00
41.23302,-105.428931,2014-07-26 13:12:11+00:00
41.233054,-105.428921,2014-07-26 13:12:12+00:00
41.233086,-105.428913,2014-07-26 13:12:13+00:00
41.23312,-105.428905,2014-07-26 13:12:14+00:00
41.233149,-105.428898,2014-07-26 13:12:15+00:00
41.233185,-105.428889,2014-07-26 13:12:16+00:00
41.233218,-105.428881,2014-07-26 13:12:17+00:00
41.233247,-105.428874,2014-07-26 13:12:18+00:00
41.233275,-105.428868,2014-07-26 13:12:19+00:00
41.233306,-105.42886,2014-07-26 13:12:20+00:00
41.233337,-105.428853,2014-07-26 13:12:21+00:00
41.23337,-105.428845,2014-07-26 13:12:22+00:00
41.233425,-105.428832,2014-07-26 13:12:24+00:00
41.233455,-105.428825,2014-07-26 13:12:25+00:00
41.233483,-105.428818,2014-07-26 13:12:26+00:00
41.233511,-105.428811,2014-07-26 13:12:27+00:00
41.233568,-105.428798,2014-07-26 13:12:29+00:00
41.233598,-105.42879,2014-07-26 13:12:30+00:00
41.233627,-105.428784,2014-07-26 13:12:31+00:00
41.233654,-105.428777,2014-07-26 13:12:32+00:00
41.233683,-105.42877,2014-07-26 13:12:33+00:00
41.233711,-105.428763,2014-07-26 13:12:34+00:00
41.233741,-105.428756,2014-07-26 13:12:35+00:00
41.233768,-105.42875,2014-07-26 13:12:36+00:00
41.233802,-105.428744,2014-07-26 13:12:37+00:00
41.233849,-105.428739,2014-07-26 13:12:39+00:00
41.233882,-105.428739,2014-07-26 13:12:40+00:00
41.233933,-105.428746,2014-07-26 13:12:42+00:00
41.233987,-105.428756,2014-07-26 13:12:44+00:00
41.234031,-105.42877,2014-07-26 13:12:46+00:00
41.234063,-105.428783,2014-07-26 13:12:47+00:00
41.23411,-105.428806,2014-07-26 13:12:49+00:00
41.234159,-105.42883,2014-07-26 13:12:51+00:00
41.234211,-105.428856,2014-07-26 13:12:53+00:00
41.234237,-105.428869,2014-07-26 13:12:54+00:00
41.234262,-105.428883,2014-07-26 13:12:55+00:00
41.23429,-105.428897,2014-07-26 13:12:56+00:00
41.234341,-105.428925,2014-07-26 13:12:58+00:00
41.234368,-105.428939,2014-07-26 13:12:59+00:00
41.234394,-105.428953,2014-07-26 13:13:00+00:00
41.234444,-105.42898,2014-07-26 13:13:02+00:00
41.234492,-105.429006,2014-07-26 13:13:04+00:00
41.234538,-105.42903,2014-07-26 13:13:06+00:00
41.234582,-105.429054,2014-07-26 13:13:08+00:00
41.234628,-105.429079,2014-07-26 13:13:10+00:00
41.234671,-105.429101,2014-07-26 13:13:12+00:00
41.234721,-105.429128,2014-07-26 13:13:14+00:00
41.234761,-105.42915,2014-07-26 13:13:16+00:00
41.234804,-105.429173,2014-07-26 13:13:18+00:00
41.234849,-105.429197,2014-07-26 13:13:20+00:00
