desc,data_freq,grid_distance,num_loops,time,accuracy
10s 0.1km,10,0.1,1,0.071416,False
10s 0.2km,10,0.2,2,0.024723,True
10s 0.3km,10,0.3,3,0.014123,False
10s 0.4km,10,0.4,2,0.009485,True
10s 0.5km,10,0.5,3,0.006899,False
10s 0.6km,10,0.6,3,0.007369,False
10s 0.7km,10,0.7,2,0.006862,True
10s 0.8km,10,0.8,2,0.005882,True
10s 0.9km,10,0.9,3,0.006629,False
10s 1km,10,1,3,0.007893,False
20s 0.1km,20,0.1,1,0.045462,False
20s 0.2km,20,0.2,1,0.014634,False
20s 0.3km,20,0.3,2,0.009378,True
20s 0.4km,20,0.4,1,0.005892,False
20s 0.5km,20,0.5,3,0.004412,False
20s 0.6km,20,0.6,3,0.004293,False
20s 0.7km,20,0.7,2,0.002542,True
20s 0.8km,20,0.8,1,0.002308,False
20s 0.9km,20,0.9,3,0.002115,False
20s 1km,20,1,3,0.001794,False
30s 0.1km,30,0.1,1,0.018953,False
30s 0.2km,30,0.2,1,0.006346,False
30s 0.3km,30,0.3,1,0.004441,False
30s 0.4km,30,0.4,2,0.002710,True
30s 0.5km,30,0.5,3,0.002057,False
30s 0.6km,30,0.6,3,0.002121,False
30s 0.7km,30,0.7,2,0.001604,True
30s 0.8km,30,0.8,2,0.001388,True
30s 0.9km,30,0.9,3,0.001455,False
30s 1km,30,1,3,0.001161,False
40s 0.1km,40,0.1,1,0.014332,False
40s 0.2km,40,0.2,1,0.004612,False
40s 0.3km,40,0.3,1,0.003093,False
40s 0.4km,40,0.4,2,0.001864,True
40s 0.5km,40,0.5,3,0.001463,False
40s 0.6km,40,0.6,3,0.002406,False
40s 0.7km,40,0.7,2,0.001104,True
40s 0.8km,40,0.8,2,0.001029,True
40s 0.9km,40,0.9,3,0.001295,False
40s 1km,40,1,3,0.000980,False
50s 0.1km,50,0.1,1,0.011112,False
50s 0.2km,50,0.2,1,0.003420,False
50s 0.3km,50,0.3,1,0.002624,False
50s 0.4km,50,0.4,2,0.001372,True
50s 0.5km,50,0.5,3,0.001115,False
50s 0.6km,50,0.6,3,0.001215,False
50s 0.7km,50,0.7,2,0.000973,True
50s 0.8km,50,0.8,2,0.000867,True
50s 0.9km,50,0.9,3,0.000853,False
50s 1km,50,1,3,0.000702,False
60s 0.1km,60,0.1,1,0.008628,False
60s 0.2km,60,0.2,1,0.002697,False
60s 0.3km,60,0.3,2,0.001517,True
60s 0.4km,60,0.4,1,0.001197,False
60s 0.5km,60,0.5,2,0.000901,True
60s 0.6km,60,0.6,3,0.000935,False
60s 0.7km,60,0.7,2,0.000706,True
60s 0.8km,60,0.8,2,0.000671,True
60s 0.9km,60,0.9,3,0.000958,False
60s 1km,60,1,3,0.000771,False
70s 0.1km,70,0.1,1,0.008178,False
70s 0.2km,70,0.2,1,0.002379,False
70s 0.3km,70,0.3,1,0.001245,False
70s 0.4km,70,0.4,1,0.001142,False
70s 0.5km,70,0.5,1,0.000739,False
70s 0.6km,70,0.6,3,0.000783,False
70s 0.7km,70,0.7,2,0.000595,True
70s 0.8km,70,0.8,1,0.000570,False
70s 0.9km,70,0.9,3,0.000772,False
70s 1km,70,1,3,0.000524,False
80s 0.1km,80,0.1,1,0.006835,False
80s 0.2km,80,0.2,1,0.002080,False
80s 0.3km,80,0.3,1,0.001134,False
80s 0.4km,80,0.4,1,0.000839,False
80s 0.5km,80,0.5,1,0.000681,False
80s 0.6km,80,0.6,3,0.000684,False
80s 0.7km,80,0.7,2,0.000548,True
80s 0.8km,80,0.8,1,0.000536,False
80s 0.9km,80,0.9,3,0.000548,False
80s 1km,80,1,3,0.000465,False
90s 0.1km,90,0.1,1,0.006163,False
90s 0.2km,90,0.2,1,0.001972,False
90s 0.3km,90,0.3,1,0.000947,False
90s 0.4km,90,0.4,1,0.000718,False
90s 0.5km,90,0.5,3,0.000589,False
90s 0.6km,90,0.6,3,0.000599,False
90s 0.7km,90,0.7,2,0.000473,True
90s 0.8km,90,0.8,2,0.000466,True
90s 0.9km,90,0.9,3,0.000839,False
90s 1km,90,1,3,0.000431,False
100s 0.1km,100,0.1,1,0.005469,False
100s 0.2km,100,0.2,1,0.001628,False
100s 0.3km,100,0.3,1,0.000857,False
100s 0.4km,100,0.4,1,0.000670,False
100s 0.5km,100,0.5,1,0.000504,False
100s 0.6km,100,0.6,2,0.000504,True
100s 0.7km,100,0.7,2,0.000542,True
100s 0.8km,100,0.8,2,0.000399,True
100s 0.9km,100,0.9,3,0.000406,False
100s 1km,100,1,3,0.000356,False
110s 0.1km,110,0.1,1,0.005256,False
110s 0.2km,110,0.2,1,0.001808,False
110s 0.3km,110,0.3,1,0.000933,False
110s 0.4km,110,0.4,1,0.000531,False
110s 0.5km,110,0.5,2,0.000445,True
110s 0.6km,110,0.6,3,0.000527,False
110s 0.7km,110,0.7,2,0.000490,True
110s 0.8km,110,0.8,1,0.000413,False
110s 0.9km,110,0.9,3,0.000386,False
110s 1km,110,1,3,0.000334,False
120s 0.1km,120,0.1,1,0.004605,False
120s 0.2km,120,0.2,1,0.001312,False
120s 0.3km,120,0.3,1,0.000728,False
120s 0.4km,120,0.4,1,0.000523,False
120s 0.5km,120,0.5,1,0.000488,False
120s 0.6km,120,0.6,2,0.000426,True
120s 0.7km,120,0.7,2,0.000341,True
120s 0.8km,120,0.8,2,0.000470,True
120s 0.9km,120,0.9,3,0.000347,False
120s 1km,120,1,3,0.000300,False
